filename,condition,payload,repetition,oversample,output_seconds,fs_out
i2s_clean__payload-near_silence__rep-1__os-2.wav,clean,near_silence,1,2,2.0,48000
i2s_clean__payload-near_silence__rep-1__os-4.wav,clean,near_silence,1,4,2.0,48000
i2s_clean__payload-near_silence__rep-1__os-6.wav,clean,near_silence,1,6,2.0,48000
i2s_clean__payload-near_silence__rep-1__os-8.wav,clean,near_silence,1,8,2.0,48000
i2s_clean__payload-near_silence__rep-1__os-10.wav,clean,near_silence,1,10,2.0,48000
i2s_clean__payload-near_silence__rep-2__os-2.wav,clean,near_silence,2,2,2.0,48000
i2s_clean__payload-near_silence__rep-2__os-4.wav,clean,near_silence,2,4,2.0,48000
i2s_clean__payload-near_silence__rep-2__os-6.wav,clean,near_silence,2,6,2.0,48000
i2s_clean__payload-near_silence__rep-2__os-8.wav,clean,near_silence,2,8,2.0,48000
i2s_clean__payload-near_silence__rep-2__os-10.wav,clean,near_silence,2,10,2.0,48000
i2s_clean__payload-near_silence__rep-3__os-2.wav,clean,near_silence,3,2,2.0,48000
i2s_clean__payload-near_silence__rep-3__os-4.wav,clean,near_silence,3,4,2.0,48000
i2s_clean__payload-near_silence__rep-3__os-6.wav,clean,near_silence,3,6,2.0,48000
i2s_clean__payload-near_silence__rep-3__os-8.wav,clean,near_silence,3,8,2.0,48000
i2s_clean__payload-near_silence__rep-3__os-10.wav,clean,near_silence,3,10,2.0,48000
i2s_clean__payload-near_silence__rep-4__os-2.wav,clean,near_silence,4,2,2.0,48000
i2s_clean__payload-near_silence__rep-4__os-4.wav,clean,near_silence,4,4,2.0,48000
i2s_clean__payload-near_silence__rep-4__os-6.wav,clean,near_silence,4,6,2.0,48000
i2s_clean__payload-near_silence__rep-4__os-8.wav,clean,near_silence,4,8,2.0,48000
i2s_clean__payload-near_silence__rep-4__os-10.wav,clean,near_silence,4,10,2.0,48000
i2s_clean__payload-near_silence__rep-5__os-2.wav,clean,near_silence,5,2,2.0,48000
i2s_clean__payload-near_silence__rep-5__os-4.wav,clean,near_silence,5,4,2.0,48000
i2s_clean__payload-near_silence__rep-5__os-6.wav,clean,near_silence,5,6,2.0,48000
i2s_clean__payload-near_silence__rep-5__os-8.wav,clean,near_silence,5,8,2.0,48000
i2s_clean__payload-near_silence__rep-5__os-10.wav,clean,near_silence,5,10,2.0,48000
i2s_clean__payload-sine__rep-1__os-2.wav,clean,sine,1,2,2.0,48000
i2s_clean__payload-sine__rep-1__os-4.wav,clean,sine,1,4,2.0,48000
i2s_clean__payload-sine__rep-1__os-6.wav,clean,sine,1,6,2.0,48000
i2s_clean__payload-sine__rep-1__os-8.wav,clean,sine,1,8,2.0,48000
i2s_clean__payload-sine__rep-1__os-10.wav,clean,sine,1,10,2.0,48000
i2s_clean__payload-sine__rep-2__os-2.wav,clean,sine,2,2,2.0,48000
i2s_clean__payload-sine__rep-2__os-4.wav,clean,sine,2,4,2.0,48000
i2s_clean__payload-sine__rep-2__os-6.wav,clean,sine,2,6,2.0,48000
i2s_clean__payload-sine__rep-2__os-8.wav,clean,sine,2,8,2.0,48000
i2s_clean__payload-sine__rep-2__os-10.wav,clean,sine,2,10,2.0,48000
i2s_clean__payload-sine__rep-3__os-2.wav,clean,sine,3,2,2.0,48000
i2s_clean__payload-sine__rep-3__os-4.wav,clean,sine,3,4,2.0,48000
i2s_clean__payload-sine__rep-3__os-6.wav,clean,sine,3,6,2.0,48000
i2s_clean__payload-sine__rep-3__os-8.wav,clean,sine,3,8,2.0,48000
i2s_clean__payload-sine__rep-3__os-10.wav,clean,sine,3,10,2.0,48000
i2s_clean__payload-sine__rep-4__os-2.wav,clean,sine,4,2,2.0,48000
i2s_clean__payload-sine__rep-4__os-4.wav,clean,sine,4,4,2.0,48000
i2s_clean__payload-sine__rep-4__os-6.wav,clean,sine,4,6,2.0,48000
i2s_clean__payload-sine__rep-4__os-8.wav,clean,sine,4,8,2.0,48000
i2s_clean__payload-sine__rep-4__os-10.wav,clean,sine,4,10,2.0,48000
i2s_clean__payload-sine__rep-5__os-2.wav,clean,sine,5,2,2.0,48000
i2s_clean__payload-sine__rep-5__os-4.wav,clean,sine,5,4,2.0,48000
i2s_clean__payload-sine__rep-5__os-6.wav,clean,sine,5,6,2.0,48000
i2s_clean__payload-sine__rep-5__os-8.wav,clean,sine,5,8,2.0,48000
i2s_clean__payload-sine__rep-5__os-10.wav,clean,sine,5,10,2.0,48000
i2s_clean__payload-noise__rep-1__os-2.wav,clean,noise,1,2,2.0,48000
i2s_clean__payload-noise__rep-1__os-4.wav,clean,noise,1,4,2.0,48000
i2s_clean__payload-noise__rep-1__os-6.wav,clean,noise,1,6,2.0,48000
i2s_clean__payload-noise__rep-1__os-8.wav,clean,noise,1,8,2.0,48000
i2s_clean__payload-noise__rep-1__os-10.wav,clean,noise,1,10,2.0,48000
i2s_clean__payload-noise__rep-2__os-2.wav,clean,noise,2,2,2.0,48000
i2s_clean__payload-noise__rep-2__os-4.wav,clean,noise,2,4,2.0,48000
i2s_clean__payload-noise__rep-2__os-6.wav,clean,noise,2,6,2.0,48000
i2s_clean__payload-noise__rep-2__os-8.wav,clean,noise,2,8,2.0,48000
i2s_clean__payload-noise__rep-2__os-10.wav,clean,noise,2,10,2.0,48000
i2s_clean__payload-noise__rep-3__os-2.wav,clean,noise,3,2,2.0,48000
i2s_clean__payload-noise__rep-3__os-4.wav,clean,noise,3,4,2.0,48000
i2s_clean__payload-noise__rep-3__os-6.wav,clean,noise,3,6,2.0,48000
i2s_clean__payload-noise__rep-3__os-8.wav,clean,noise,3,8,2.0,48000
i2s_clean__payload-noise__rep-3__os-10.wav,clean,noise,3,10,2.0,48000
i2s_clean__payload-noise__rep-4__os-2.wav,clean,noise,4,2,2.0,48000
i2s_clean__payload-noise__rep-4__os-4.wav,clean,noise,4,4,2.0,48000
i2s_clean__payload-noise__rep-4__os-6.wav,clean,noise,4,6,2.0,48000
i2s_clean__payload-noise__rep-4__os-8.wav,clean,noise,4,8,2.0,48000
i2s_clean__payload-noise__rep-4__os-10.wav,clean,noise,4,10,2.0,48000
i2s_clean__payload-noise__rep-5__os-2.wav,clean,noise,5,2,2.0,48000
i2s_clean__payload-noise__rep-5__os-4.wav,clean,noise,5,4,2.0,48000
i2s_clean__payload-noise__rep-5__os-6.wav,clean,noise,5,6,2.0,48000
i2s_clean__payload-noise__rep-5__os-8.wav,clean,noise,5,8,2.0,48000
i2s_clean__payload-noise__rep-5__os-10.wav,clean,noise,5,10,2.0,48000
i2s_jitter__payload-near_silence__rep-1__os-2.wav,jitter,near_silence,1,2,2.0,48000
i2s_jitter__payload-near_silence__rep-1__os-4.wav,jitter,near_silence,1,4,2.0,48000
i2s_jitter__payload-near_silence__rep-1__os-6.wav,jitter,near_silence,1,6,2.0,48000
i2s_jitter__payload-near_silence__rep-1__os-8.wav,jitter,near_silence,1,8,2.0,48000
i2s_jitter__payload-near_silence__rep-1__os-10.wav,jitter,near_silence,1,10,2.0,48000
i2s_jitter__payload-near_silence__rep-2__os-2.wav,jitter,near_silence,2,2,2.0,48000
i2s_jitter__payload-near_silence__rep-2__os-4.wav,jitter,near_silence,2,4,2.0,48000
i2s_jitter__payload-near_silence__rep-2__os-6.wav,jitter,near_silence,2,6,2.0,48000
i2s_jitter__payload-near_silence__rep-2__os-8.wav,jitter,near_silence,2,8,2.0,48000
i2s_jitter__payload-near_silence__rep-2__os-10.wav,jitter,near_silence,2,10,2.0,48000
i2s_jitter__payload-near_silence__rep-3__os-2.wav,jitter,near_silence,3,2,2.0,48000
i2s_jitter__payload-near_silence__rep-3__os-4.wav,jitter,near_silence,3,4,2.0,48000
i2s_jitter__payload-near_silence__rep-3__os-6.wav,jitter,near_silence,3,6,2.0,48000
i2s_jitter__payload-near_silence__rep-3__os-8.wav,jitter,near_silence,3,8,2.0,48000
i2s_jitter__payload-near_silence__rep-3__os-10.wav,jitter,near_silence,3,10,2.0,48000
i2s_jitter__payload-near_silence__rep-4__os-2.wav,jitter,near_silence,4,2,2.0,48000
i2s_jitter__payload-near_silence__rep-4__os-4.wav,jitter,near_silence,4,4,2.0,48000
i2s_jitter__payload-near_silence__rep-4__os-6.wav,jitter,near_silence,4,6,2.0,48000
i2s_jitter__payload-near_silence__rep-4__os-8.wav,jitter,near_silence,4,8,2.0,48000
i2s_jitter__payload-near_silence__rep-4__os-10.wav,jitter,near_silence,4,10,2.0,48000
i2s_jitter__payload-near_silence__rep-5__os-2.wav,jitter,near_silence,5,2,2.0,48000
i2s_jitter__payload-near_silence__rep-5__os-4.wav,jitter,near_silence,5,4,2.0,48000
i2s_jitter__payload-near_silence__rep-5__os-6.wav,jitter,near_silence,5,6,2.0,48000
